# kidnix third-party asset manifest -- machine-readable half of docs/LICENSES.md.
#
# Everything the image ships that did NOT arrive inside an RPM. RPM content is
# covered by Fedora's own licensing policy and by `%{LICENSE}` on every package
# (tests/image/test_licenses.sh screens those against a denylist); this file is
# for the vendored downloads, where nothing else records provenance.
#
# AGENTS.md §5: "Bundled content/fonts/voices must be redistributable; record
# licences." docs/LICENSES.md is the prose record a human reads. This is the
# one a test reads, so drift becomes a build failure instead of a surprise.
#
# Format: TAB-separated, four columns, one row per file.
#
#   path      absolute path in the image, exactly as installed
#   licence   SPDX identifier where one exists, else a plain-English phrase
#   source    where it came from (the URL a reviewer would check)
#   origin    vendored = downloaded at build time by build_files/
#             first-party = ours, Apache-2.0, lives in system_files/ or shell/
#             repository = somebody else's content, committed into the kidnix
#                          repository rather than downloaded (the Letters and
#                          Sounds corpus, generated once from a Crown-copyright
#                          PDF by activities/sounds_and_words/tools/gen.py)
#
# TO ADD A FILE: add the row here AND the row in docs/LICENSES.md, in the same
# commit as the download. tests/image/test_licenses.sh fails a build where a
# vendored file has no row, a row has no file, or a row is missing from the
# ledger.
#
# A row records provenance; it does not discharge an obligation. The one asset
# here that owes anything beyond being recorded is the default voice model,
# en_GB-alba-medium, which is CC-BY-4.0: its credit is written out in full at
# /usr/share/licenses/kidnix-voices/ATTRIBUTION and asserted line by line in
# tests/image/test_tts.sh. Everything else vendored is MIT, public domain, or
# carries its attribution inside the bundle (the GCompris .rcc files).
#
# path	licence	source	origin
/usr/share/kidnix/phonemes/en_GB/letter-names/w.ogg	CC-BY-SA-4.0	https://cdn.kde.org/gcompris/data3/voices-ogg/	vendored
/usr/share/kidnix/phonemes/en_GB/letter-names/x.ogg	CC-BY-SA-4.0	https://cdn.kde.org/gcompris/data3/voices-ogg/	vendored
/usr/share/kidnix/phonemes/en_GB/letter-names/y.ogg	CC-BY-SA-4.0	https://cdn.kde.org/gcompris/data3/voices-ogg/	vendored
/usr/share/kidnix/phonemes/en_GB/letter-names/z.ogg	CC-BY-SA-4.0	https://cdn.kde.org/gcompris/data3/voices-ogg/	vendored
# The Letters and Sounds corpus Sounds & Words reads. UK government content,
# not ours: Crown copyright 2007, redistributed under the Open Government
# Licence v3.0, whose attribution line is at the top of every one of these
# files and in full in .../sounds_and_words/LICENSES.md. The path carries a
# Python version because site-packages does; a Fedora Python bump has to
# update these rows, and test_licenses.sh is what will say so.
/usr/lib/python3.14/site-packages/sounds_and_words/data/graphemes.toml	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/	repository
/usr/lib/python3.14/site-packages/sounds_and_words/data/lexicon.toml	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/	repository
/usr/lib/python3.14/site-packages/sounds_and_words/data/sentences.toml	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/	repository
/usr/lib/python3.14/site-packages/sounds_and_words/data/tricky_words.toml	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/	repository
/usr/lib/python3.14/site-packages/sounds_and_words/data/words.toml	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/	repository
/usr/share/kidnix/phonemes/en_GB/letter-names/ATTRIBUTION	Apache-2.0	https://github.com/mattcree/kidnix	first-party
/usr/share/kidnix/phonemes/en_GB/phonemes.toml	Apache-2.0	https://github.com/mattcree/kidnix	first-party
/usr/share/kidnix/icons/sounds-and-words.svg	Apache-2.0	https://github.com/mattcree/kidnix	first-party
